,Stationing,Rise (in),type,cable
164,163992.0,0.9854859572792805,DiffMAX,DiffMAX
165,163993.0,0.9360813676659205,DiffMAX,DiffMAX
166,163994.0,0.8821872580511894,DiffMAX,DiffMAX
167,163995.0,0.8238058562773176,DiffMAX,DiffMAX
168,163996.0,0.7690082521183825,DiffMAX,DiffMAX
169,163997.0,0.7017635858365594,DiffMAX,DiffMAX
170,163998.0,0.6300673933857439,DiffMAX,DiffMAX
171,163999.0,0.553919674766064,DiffMAX,DiffMAX
172,164000.0,0.38211107249884435,DiffMAX,DiffMAX
173,164001.0,0.3537712421384782,DiffMAX,DiffMAX
174,164002.0,0.4393775719022699,DiffMAX,DiffMAX
175,164003.0,0.44809082769829445,DiffMAX,DiffMAX
176,164004.0,0.43744161314371866,DiffMAX,DiffMAX
177,164005.0,0.43686053828641036,DiffMAX,DiffMAX
178,164006.0,0.41839329206061393,DiffMAX,DiffMAX
179,164007.0,0.39114521617629805,DiffMAX,DiffMAX
180,164008.0,0.3551163106333348,DiffMAX,DiffMAX
181,164009.0,0.31030657543185214,DiffMAX,DiffMAX
182,164010.0,0.2523515370136096,DiffMAX,DiffMAX
183,164011.0,0.19200797020832283,DiffMAX,DiffMAX
184,164012.0,0.1222577335378503,DiffMAX,DiffMAX
