,Stationing,Elevation,type
345,162642.0,18.50062932940516,CW
346,162643.0,18.501838775252523,CW
347,162644.0,18.503370342312007,CW
348,162645.0,18.505224030583612,CW
349,162646.0,18.50739984006734,CW
350,162647.0,18.509897770763185,CW
351,162648.0,18.512717822671156,CW
352,162649.0,18.515859995791246,CW
353,162650.0,18.519324290123457,CW
354,162651.0,18.523110705667786,CW
355,162652.0,18.52721924242424,CW
356,162653.0,18.52327480623543,CW
357,162654.0,18.51965249125874,CW
358,162655.0,18.516352297494173,CW
359,162656.0,18.513374224941725,CW
360,162657.0,18.510718273601398,CW
361,162658.0,18.508384443473194,CW
362,162659.0,18.506372734557107,CW
363,162660.0,18.504683146853147,CW
364,162661.0,18.503315680361304,CW
365,162662.0,18.502270335081583,CW
366,162663.0,18.501547111013984,CW
367,162664.0,18.501146008158507,CW
368,162665.0,18.501067026515152,CW
369,162666.0,18.501310166083915,CW
370,162667.0,18.5018754268648,CW
371,162668.0,18.502762808857806,CW
372,162669.0,18.503972312062935,CW
373,162670.0,18.505503936480185,CW
374,162671.0,18.507357682109557,CW
375,162672.0,18.509533548951048,CW
376,162673.0,18.51203153700466,CW
377,162674.0,18.514851646270394,CW
378,162675.0,18.51799387674825,CW
379,162676.0,18.521458228438227,CW
380,162677.0,18.525244701340327,CW
381,162678.0,18.529353295454545,CW
382,162679.0,18.525165719696968,CW
383,162680.0,18.521300265151513,CW
384,162681.0,18.51775693181818,CW
385,162682.0,18.51453571969697,CW
386,162683.0,18.51163662878788,CW
387,162684.0,18.50905965909091,CW
388,162685.0,18.50680481060606,CW
389,162686.0,18.504872083333332,CW
390,162687.0,18.503261477272726,CW
391,162688.0,18.501972992424243,CW
392,162689.0,18.501006628787877,CW
393,162690.0,18.500362386363637,CW
394,162691.0,18.500040265151515,CW
395,162692.0,18.500040265151515,CW
396,162693.0,18.500362386363637,CW
397,162694.0,18.501006628787877,CW
398,162695.0,18.501972992424243,CW
399,162696.0,18.503261477272726,CW
400,162697.0,18.504872083333332,CW
401,162698.0,18.50680481060606,CW
402,162699.0,18.50905965909091,CW
403,162700.0,18.51163662878788,CW
404,162701.0,18.51453571969697,CW
405,162702.0,18.51775693181818,CW
406,162703.0,18.521300265151513,CW
407,162704.0,18.525165719696968,CW
408,162705.0,18.529353295454545,CW
409,162706.0,18.525247741301907,CW
410,162707.0,18.52146430836139,CW
411,162708.0,18.518002996632998,CW
412,162709.0,18.514863806116722,CW
413,162710.0,18.512046736812568,CW
414,162711.0,18.50955178872054,CW
415,162712.0,18.50737896184063,CW
416,162713.0,18.505528256172838,CW
417,162714.0,18.50399967171717,CW
418,162715.0,18.502793208473626,CW
419,162716.0,18.5019088664422,CW
420,162717.0,18.501346645622895,CW
421,162718.0,18.501106546015713,CW
422,162719.0,18.501188567620652,CW
423,162720.0,18.50159271043771,CW
424,162721.0,18.502318974466892,CW
425,162722.0,18.503367359708193,CW
426,162723.0,18.504737866161616,CW
427,162724.0,18.50643049382716,CW
428,162725.0,18.508445242704827,CW
429,162726.0,18.51078211279461,CW
430,162727.0,18.513441104096522,CW
431,162728.0,18.51642221661055,CW
432,162729.0,18.5197254503367,CW
433,162730.0,18.523350805274973,CW
434,162731.0,18.527298281425363,CW
435,162732.0,18.53156787878788,CW
436,162733.0,18.527386055194807,CW
437,162734.0,18.523526352813853,CW
438,162735.0,18.51998877164502,CW
439,162736.0,18.51677331168831,CW
440,162737.0,18.513879972943723,CW
441,162738.0,18.511308755411257,CW
442,162739.0,18.50905965909091,CW
443,162740.0,18.507132683982682,CW
444,162741.0,18.505527830086578,CW
445,162742.0,18.504245097402595,CW
446,162743.0,18.503284485930735,CW
447,162744.0,18.502645995670996,CW
448,162745.0,18.502329626623375,CW
449,162746.0,18.50233537878788,CW
450,162747.0,18.502663252164503,CW
451,162748.0,18.503313246753248,CW
452,162749.0,18.50428536255411,CW
453,162750.0,18.5055795995671,CW
454,162751.0,18.507195957792206,CW
455,162752.0,18.509134437229434,CW
456,162753.0,18.51139503787879,CW
457,162754.0,18.513977759740257,CW
458,162755.0,18.51688260281385,CW
459,162756.0,18.520109567099567,CW
460,162757.0,18.5236586525974,CW
461,162758.0,18.527529859307357,CW
462,162759.0,18.531723187229435,CW
463,162760.0,18.536238636363635,CW
464,162761.0,18.53156787878788,CW
465,162762.0,18.52721924242424,CW
466,162763.0,18.523192727272725,CW
467,162764.0,18.51948833333333,CW
468,162765.0,18.51610606060606,CW
469,162766.0,18.513045909090906,CW
470,162767.0,18.510307878787877,CW
471,162768.0,18.507891969696967,CW
472,162769.0,18.50579818181818,CW
473,162770.0,18.504026515151512,CW
474,162771.0,18.502576969696968,CW
475,162772.0,18.501449545454545,CW
476,162773.0,18.50064424242424,CW
477,162774.0,18.500161060606057,CW
478,162775.0,18.5,CW
479,162776.0,18.500161060606057,CW
480,162777.0,18.50064424242424,CW
481,162778.0,18.501449545454545,CW
482,162779.0,18.502576969696968,CW
483,162780.0,18.504026515151512,CW
484,162781.0,18.50579818181818,CW
485,162782.0,18.507891969696967,CW
486,162783.0,18.510307878787877,CW
487,162784.0,18.513045909090906,CW
488,162785.0,18.51610606060606,CW
489,162786.0,18.51948833333333,CW
490,162787.0,18.523192727272725,CW
491,162788.0,18.52721924242424,CW
492,162789.0,18.53156787878788,CW
493,162790.0,18.536238636363635,CW
494,162791.0,18.53156787878788,CW
495,162792.0,18.52721924242424,CW
496,162793.0,18.523192727272725,CW
497,162794.0,18.51948833333333,CW
498,162795.0,18.51610606060606,CW
499,162796.0,18.513045909090906,CW
500,162797.0,18.510307878787877,CW
501,162798.0,18.507891969696967,CW
502,162799.0,18.50579818181818,CW
503,162800.0,18.504026515151512,CW
504,162801.0,18.502576969696968,CW
505,162802.0,18.501449545454545,CW
506,162803.0,18.50064424242424,CW
507,162804.0,18.500161060606057,CW
508,162805.0,18.5,CW
509,162806.0,18.500161060606057,CW
510,162807.0,18.50064424242424,CW
511,162808.0,18.501449545454545,CW
512,162809.0,18.502576969696968,CW
513,162810.0,18.504026515151512,CW
514,162811.0,18.50579818181818,CW
515,162812.0,18.507891969696967,CW
516,162813.0,18.510307878787877,CW
517,162814.0,18.513045909090906,CW
518,162815.0,18.51610606060606,CW
519,162816.0,18.51948833333333,CW
520,162817.0,18.523192727272725,CW
521,162818.0,18.52721924242424,CW
522,162819.0,18.53156787878788,CW
523,162820.0,18.536238636363635,CW
524,162821.0,18.53156787878788,CW
525,162822.0,18.52721924242424,CW
526,162823.0,18.523192727272725,CW
527,162824.0,18.51948833333333,CW
528,162825.0,18.51610606060606,CW
529,162826.0,18.513045909090906,CW
530,162827.0,18.510307878787877,CW
531,162828.0,18.507891969696967,CW
532,162829.0,18.50579818181818,CW
533,162830.0,18.504026515151512,CW
534,162831.0,18.502576969696968,CW
535,162832.0,18.501449545454545,CW
536,162833.0,18.50064424242424,CW
537,162834.0,18.500161060606057,CW
538,162835.0,18.5,CW
539,162836.0,18.500161060606057,CW
540,162837.0,18.50064424242424,CW
541,162838.0,18.501449545454545,CW
542,162839.0,18.502576969696968,CW
543,162840.0,18.504026515151512,CW
544,162841.0,18.50579818181818,CW
545,162842.0,18.507891969696967,CW
546,162843.0,18.510307878787877,CW
547,162844.0,18.513045909090906,CW
548,162845.0,18.51610606060606,CW
549,162846.0,18.51948833333333,CW
550,162847.0,18.523192727272725,CW
551,162848.0,18.52721924242424,CW
552,162849.0,18.53156787878788,CW
553,162850.0,18.536238636363635,CW
554,162851.0,18.531488690656563,CW
555,162852.0,18.527060866161616,CW
556,162853.0,18.522955162878787,CW
557,162854.0,18.51917158080808,CW
558,162855.0,18.515710119949492,CW
559,162856.0,18.51257078030303,CW
560,162857.0,18.509753561868685,CW
561,162858.0,18.507258464646462,CW
562,162859.0,18.50508548863636,CW
563,162860.0,18.50323463383838,CW
564,162861.0,18.501705900252524,CW
565,162862.0,18.50049928787879,CW
566,162863.0,18.49961479671717,CW
567,162864.0,18.499052426767676,CW
568,162865.0,18.498812178030303,CW
569,162866.0,18.49889405050505,CW
570,162867.0,18.499298044191917,CW
571,162868.0,18.50002415909091,CW
572,162869.0,18.50107239520202,CW
573,162870.0,18.50244275252525,CW
574,162871.0,18.504135231060605,CW
575,162872.0,18.50614983080808,CW
576,162873.0,18.508486551767678,CW
577,162874.0,18.511145393939394,CW
578,162875.0,18.51412635732323,CW
579,162876.0,18.51742944191919,CW
580,162877.0,18.521054647727272,CW
581,162878.0,18.525001974747475,CW
